,Locality,Restaurant_Type,Ratings_out_of_5,Number of votes,Cuisines,Cost,payment_modes,5_star_review_percentage
0,32,23,4.9,7029,783,1400.0,1,79
1,8,58,4.6,2578,1626,1500.0,1,61
2,78,45,4.6,3291,1932,2500.0,6,62
3,32,24,4.3,430,61,1400.0,6,45
4,80,7,4.5,2138,1595,1500.0,6,63
5,94,7,4.6,4731,64,1400.0,1,74
6,94,23,4.5,2999,2055,1700.0,1,52
7,32,67,4.0,1437,1609,1400.0,1,53
8,25,0,4.7,2296,93,150.0,5,65
9,98,23,4.2,3758,1733,1400.0,1,43
10,6,7,4.6,370,2012,1500.0,1,72
11,35,5,4.6,948,1456,1500.0,6,61
12,8,7,4.2,280,507,1300.0,1,57
13,94,23,4.4,3435,1538,1000.0,1,64
14,60,69,4.0,259,2463,250.0,3,41
15,12,7,4.2,498,1997,1800.0,1,60
16,90,7,4.1,317,1818,1500.0,1,56
17,53,24,4.4,394,1847,1700.0,1,61
18,20,14,4.7,4665,852,1000.0,1,64
19,31,23,3.7,78,1609,1600.0,1,70
20,20,23,4.1,3243,1113,700.0,1,36
21,32,7,4.4,3006,1910,1500.0,1,58
22,5,7,4.4,382,1837,1500.0,6,74
23,94,7,4.7,1334,1824,1700.0,6,68
24,32,7,4.0,1983,128,1600.0,1,37
25,90,67,4.0,2938,1828,1700.0,1,31
26,90,23,4.1,462,285,900.0,7,63
27,85,24,4.4,2871,1682,1300.0,1,60
28,32,7,4.3,3281,2016,1500.0,1,64
29,78,30,4.3,2039,1069,2500.0,1,49
30,32,67,4.0,1941,1912,2000.0,1,51
31,82,23,4.4,1057,1365,600.0,6,64
32,5,7,4.5,3847,136,1500.0,1,58
33,58,23,0.0,0,1840,1400.0,1,0
34,32,24,4.5,3189,90,1200.0,6,69
35,8,7,4.0,1104,1821,1300.0,1,57
36,28,23,4.2,1112,1326,550.0,1,51
37,5,58,4.1,910,1200,1700.0,1,45
38,78,45,4.4,1737,1191,2200.0,1,49
39,45,24,4.5,1531,714,1500.0,1,58
40,20,69,4.2,7002,2051,600.0,1,37
41,44,25,4.2,4715,1102,1100.0,1,28
42,44,14,4.2,250,374,700.0,1,48
43,26,61,4.9,216,1630,900.0,1,70
44,5,23,4.8,3758,1201,700.0,7,75
45,78,56,4.6,2585,12,1800.0,1,67
46,32,24,4.1,230,1840,1300.0,1,52
47,44,24,4.6,1956,843,1500.0,1,50
48,28,23,4.4,5660,2453,500.0,1,44
49,94,23,4.3,2930,1641,850.0,6,57
50,52,69,4.1,3552,937,300.0,1,31
51,36,23,3.9,1429,288,700.0,6,42
52,90,23,4.3,1942,1598,700.0,6,56
53,75,23,4.2,1461,1326,600.0,1,32
54,5,7,4.3,2642,1083,1500.0,1,59
55,26,24,4.4,230,758,1400.0,1,65
56,58,7,3.9,1617,1091,2200.0,1,33
57,80,24,4.4,2654,1227,2100.0,6,44
58,80,23,3.9,1238,1681,1500.0,1,42
59,5,7,4.3,1135,772,1300.0,1,44
60,32,7,4.3,866,748,2000.0,1,64
61,32,7,4.0,1971,138,1500.0,1,44
62,58,9,4.2,2401,1082,1500.0,1,44
63,94,7,4.4,134,1081,2200.0,1,84
64,44,25,4.4,3341,1239,1600.0,1,46
65,25,69,4.6,2624,313,250.0,5,52
66,70,23,4.1,2161,580,1200.0,1,34
67,20,24,4.5,1102,760,1300.0,1,52
68,44,24,4.5,2758,59,1100.0,1,48
69,44,0,4.5,361,106,600.0,1,58
70,44,24,4.4,4815,1398,1800.0,1,51
71,33,24,4.2,970,1820,1200.0,1,44
72,24,69,4.7,3441,2463,250.0,5,51
73,78,23,4.6,527,1899,1000.0,1,60
74,58,7,4.5,3693,17,2500.0,1,56
75,13,23,3.9,2792,617,800.0,1,24
76,94,23,4.2,362,1814,1000.0,6,60
77,28,23,4.3,2450,514,1000.0,1,34
78,90,24,4.7,3790,149,1300.0,6,68
79,67,58,3.6,2528,1996,2100.0,1,35
80,53,23,4.2,3916,2036,1200.0,7,51
81,5,23,4.4,2931,2375,400.0,1,49
82,75,14,4.4,1430,415,450.0,1,56
83,5,67,4.0,938,717,1600.0,1,47
84,5,23,4.7,1647,79,1700.0,1,62
85,80,7,4.7,1894,58,1200.0,1,67
86,41,23,3.9,1044,2085,700.0,8,48
87,73,7,4.5,819,1845,1500.0,1,81
88,58,7,3.4,179,127,1300.0,1,43
89,32,24,3.9,1303,797,1500.0,1,42
90,35,24,0.0,0,1920,1500.0,1,0
91,90,7,4.9,1944,747,1400.0,6,77
92,5,7,4.1,773,140,1200.0,1,52
93,45,23,3.9,1042,297,1100.0,6,41
94,94,69,4.2,275,1365,500.0,6,55
95,41,7,4.0,987,800,1600.0,1,40
96,35,7,4.3,1438,1084,1500.0,1,54
97,5,67,4.5,2857,804,2000.0,1,52
98,35,14,4.9,378,386,1500.0,1,76
99,98,20,0.0,0,475,1800.0,6,0
100,45,14,3.9,247,422,850.0,1,39
101,12,24,4.8,350,1909,1200.0,1,72
102,44,23,4.6,250,1399,1500.0,1,70
103,90,14,4.5,742,376,700.0,1,63
104,28,7,4.3,3476,139,1300.0,1,44
105,2,69,3.7,589,313,500.0,1,41
106,58,7,4.3,2486,16,1800.0,6,44
107,5,23,3.6,277,1581,650.0,1,39
108,32,24,4.6,890,778,1500.0,1,75
109,20,23,4.0,687,587,700.0,1,31
110,75,23,3.9,2189,256,650.0,1,36
111,61,69,4.2,2208,2066,400.0,1,41
112,26,67,4.4,294,72,2000.0,1,71
113,98,7,4.5,1641,1461,1500.0,6,52
114,45,7,4.8,1861,1924,1200.0,6,88
115,5,24,4.0,1289,1742,1300.0,1,40
116,73,7,4.6,3230,1609,1800.0,1,60
117,2,7,4.4,516,1864,1600.0,6,69
118,12,23,4.6,521,2012,1300.0,6,66
119,44,23,4.8,1331,2271,1300.0,1,70
120,58,7,4.1,723,1860,2200.0,1,49
121,90,53,4.3,1158,1181,300.0,1,42
122,42,69,4.3,1670,40,250.0,3,58
123,90,24,4.2,253,1581,1200.0,1,32
124,90,24,4.9,5334,1425,1400.0,8,74
125,5,7,4.0,294,1092,1400.0,6,58
126,2,23,4.1,1948,1517,1600.0,1,32
127,53,31,3.6,91,1458,2000.0,1,54
128,32,7,3.9,3908,803,1700.0,1,22
129,78,24,4.3,3848,1208,1500.0,6,48
130,33,69,4.1,741,1581,500.0,6,37
131,32,23,4.4,3081,2013,1500.0,1,56
132,41,7,4.2,213,1832,2200.0,6,70
133,12,56,4.4,431,808,1300.0,6,62
134,26,24,4.8,494,851,1200.0,1,72
135,6,56,3.8,210,2092,800.0,5,46
136,53,69,4.0,333,896,500.0,7,37
137,26,23,4.2,883,2386,850.0,7,34
138,5,7,4.1,259,1225,1300.0,6,46
139,35,24,4.4,1073,1288,700.0,1,65
140,26,23,4.2,1225,1411,1300.0,1,40
141,41,7,3.7,149,1644,1600.0,1,57
142,44,24,4.2,1576,733,1200.0,1,40
143,86,23,4.6,1505,1223,1500.0,6,70
144,28,69,3.9,1173,315,500.0,7,33
145,5,24,3.9,1709,1645,1500.0,1,23
146,44,7,4.3,310,1524,1200.0,1,61
147,32,7,4.2,257,739,1250.0,1,72
148,58,58,4.0,1816,1639,1800.0,1,33
149,78,24,4.4,1297,485,1800.0,1,44
150,37,23,4.5,671,1326,1200.0,1,53
151,44,19,4.6,1528,383,600.0,1,65
152,31,7,4.3,2283,798,1500.0,1,67
153,39,23,4.4,130,2551,500.0,6,79
154,20,23,4.0,943,1345,500.0,1,33
